m_cambodia_15_24_yrs, m_canada_45_54_yrs, m_iran_45_54_yrs, m_indonesia_25_44_yrs, m_fiji_55_64_yrs, m_iran_5_14_yrs, m_india_85_yrs_ov, m_cambodia_5_14_yrs, m_bosnia_herzegov_25_44_yrs, m_croatia_55_64_yrs, m_england_5_14_yrs, m_germany_5_14_yrs, m_indonesia_55_64_yrs, m_iran_55_64_yrs, m_india_25_44_yrs, m_afghanistan_65_74_yrs, m_egypt_tot, m_germany_15_24_yrs, m_indonesia_0_4_yrs, m_chile_15_24_yrs, m_iran_25_44_yrs, m_australia_0_4_yrs, m_bosnia_herzegov_5_14_yrs, m_hong_kong_85_yrs_ov, m_china_tot, m_bangladesh_55_64_yrs, m_germany_55_64_yrs, m_australia_85_yrs_ov, m_greece_75_84_yrs, m_egypt_5_14_yrs, lga_code_2016, m_england_85_yrs_ov, m_croatia_tot, m_canada_75_84_yrs, m_india_0_4_yrs, m_egypt_75_84_yrs, m_indonesia_45_54_yrs, m_fiji_15_24_yrs, m_croatia_45_54_yrs, m_bosnia_herzegov_75_84_yrs, m_iraq_85_yrs_ov, m_india_75_84_yrs, m_croatia_25_44_yrs, m_bangladesh_85_yrs_ov, m_iraq_65_74_yrs, m_india_65_74_yrs, m_england_0_4_yrs, m_chile_75_84_yrs, m_egypt_15_24_yrs, m_england_15_24_yrs, m_indonesia_75_84_yrs, m_india_15_24_yrs, m_egypt_25_44_yrs, m_hong_kong_5_14_yrs, m_greece_25_44_yrs, m_canada_tot, m_iraq_tot, m_germany_0_4_yrs, m_greece_15_24_yrs, m_china_45_54_yrs, m_canada_85_yrs_ov, m_croatia_5_14_yrs, m_bosnia_herzegov_65_74_yrs, m_greece_5_14_yrs, m_fiji_45_54_yrs, m_hong_kong_tot, m_france_5_14_yrs, m_croatia_85_yrs_ov, m_england_55_64_yrs, m_bangladesh_25_44_yrs, m_france_25_44_yrs, m_france_tot, m_iran_65_74_yrs, m_chile_55_64_yrs, m_fiji_0_4_yrs, m_hong_kong_65_74_yrs, m_afghanistan_tot, m_england_65_74_yrs, m_afghanistan_75_84_yrs, m_hong_kong_55_64_yrs, m_australia_55_64_yrs, m_australia_45_54_yrs, m_france_85_yrs_ov, m_chile_65_74_yrs, m_bosnia_herzegov_15_24_yrs, m_china_15_24_yrs, m_india_45_54_yrs, m_bosnia_herzegov_85_yrs_ov, m_afghanistan_0_4_yrs, m_indonesia_85_yrs_ov, m_china_75_84_yrs, m_australia_25_44_yrs, m_chile_tot, m_indonesia_65_74_yrs, m_greece_0_4_yrs, m_afghanistan_55_64_yrs, m_iraq_75_84_yrs, m_iran_tot, m_indonesia_tot, m_egypt_45_54_yrs, m_france_0_4_yrs, m_cambodia_85_yrs_ov, m_bosnia_herzegov_45_54_yrs, m_china_25_44_yrs, m_egypt_55_64_yrs, m_china_85_yrs_ov, m_canada_55_64_yrs, m_chile_0_4_yrs, m_bosnia_herzegov_tot, m_indonesia_15_24_yrs, m_indonesia_5_14_yrs, m_china_65_74_yrs, m_chile_85_yrs_ov, m_egypt_65_74_yrs, m_china_5_14_yrs, m_france_45_54_yrs, m_greece_85_yrs_ov, m_cambodia_25_44_yrs, m_hong_kong_45_54_yrs, m_afghanistan_5_14_yrs, m_iraq_45_54_yrs, m_bosnia_herzegov_0_4_yrs, m_india_5_14_yrs, m_iraq_15_24_yrs, m_australia_65_74_yrs, m_fiji_85_yrs_ov, m_iran_85_yrs_ov, m_afghanistan_15_24_yrs, m_croatia_0_4_yrs, m_germany_25_44_yrs, m_greece_tot, m_hong_kong_75_84_yrs, m_chile_45_54_yrs, m_cambodia_65_74_yrs, m_fiji_65_74_yrs, m_china_0_4_yrs, m_chile_5_14_yrs, m_germany_85_yrs_ov, m_canada_25_44_yrs, m_bangladesh_15_24_yrs, m_afghanistan_25_44_yrs, m_germany_45_54_yrs, m_germany_65_74_yrs, m_england_tot, m_fiji_tot, m_iran_0_4_yrs, m_france_15_24_yrs, m_hong_kong_15_24_yrs, m_iran_15_24_yrs, m_bangladesh_0_4_yrs, m_hong_kong_0_4_yrs, m_bangladesh_75_84_yrs, m_germany_75_84_yrs, m_greece_45_54_yrs, m_france_65_74_yrs, m_england_45_54_yrs, m_iraq_5_14_yrs, m_england_25_44_yrs, m_cambodia_55_64_yrs, m_australia_tot, m_iran_75_84_yrs, m_bosnia_herzegov_55_64_yrs, m_fiji_75_84_yrs, m_cambodia_0_4_yrs, m_bangladesh_65_74_yrs, m_afghanistan_85_yrs_ov, m_canada_65_74_yrs, m_australia_5_14_yrs, m_egypt_0_4_yrs, m_bangladesh_45_54_yrs, m_bangladesh_5_14_yrs, m_canada_5_14_yrs, lga_name_2016, m_croatia_75_84_yrs, m_france_55_64_yrs, m_croatia_65_74_yrs, m_canada_15_24_yrs, m_hong_kong_25_44_yrs, m_chile_25_44_yrs, m_china_55_64_yrs, m_cambodia_45_54_yrs, m_australia_75_84_yrs, m_egypt_85_yrs_ov, m_fiji_25_44_yrs, m_fiji_5_14_yrs, m_iraq_25_44_yrs, m_england_75_84_yrs, m_india_55_64_yrs, m_australia_15_24_yrs, m_iraq_0_4_yrs, m_germany_tot, m_canada_0_4_yrs, m_cambodia_tot, m_cambodia_75_84_yrs, m_greece_55_64_yrs, m_croatia_15_24_yrs, m_iraq_55_64_yrs, m_bangladesh_tot, m_afghanistan_45_54_yrs, m_india_tot, m_france_75_84_yrs, m_greece_65_74_yrs
0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,227,0,0,3,0,4,57,0,0,"10850",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,5,0,0,0,0,0,24,0,0,425,428,0,0,0,0,0,0,0,0,0,632,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,73,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,3078,0,0,0,0,0,0,0,508,0,0,0,0,"Blayney (A)",0,0,0,0,0,0,0,0,154,0,0,0,0,9,0,353,0,16,0,0,0,0,0,0,0,0,0,0,0
5,22,4,13,5,0,0,0,0,6,38,9,6,0,44,0,27,0,0,3,10,2064,0,0,85,0,47,326,7,0,"10900",79,33,3,3,10,5,0,4,3,0,14,3,0,0,17,3,7,0,47,4,21,0,5,0,96,9,0,0,14,0,0,0,0,6,47,0,3,508,0,16,47,0,3,0,3,4,580,0,11,3926,3791,0,11,0,4,19,0,0,4,13,6521,47,7,0,0,0,19,47,0,0,0,0,16,5,0,19,0,10,18,0,12,0,11,3,11,3,8,10,0,0,0,0,0,2715,0,0,0,0,18,41,0,12,3,5,0,0,13,28,0,0,46,85,2178,29,0,0,9,0,0,0,0,44,3,3,425,0,256,0,29075,0,0,0,0,0,0,8,4708,0,0,0,6,"Blue Mountains (C)",7,11,8,3,9,15,12,0,1090,3,0,0,4,243,14,3930,0,261,0,20,0,5,0,3,3,3,142,0,15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,76,0,0,0,0,0,18,0,0,"10950",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,117,169,0,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1116,0,0,0,0,0,0,0,160,0,0,0,0,"Bogan (A)",0,0,0,0,0,0,0,0,73,0,3,3,0,3,0,136,0,0,0,0,0,0,0,0,0,0,8,0,0
7,4,8,453,18,4,3,0,10,5,15,3,68,10,272,0,168,0,7,3,47,1320,0,3,1225,80,11,83,129,0,"11100",11,75,0,15,45,87,6,16,3,3,9,3,0,11,25,3,19,3,36,9,29,10,3,37,36,200,0,8,87,0,0,4,5,27,188,3,4,83,373,27,53,3,19,0,15,11,57,0,34,845,1315,0,40,0,516,33,0,0,0,31,3224,156,40,0,0,3,77,848,5,0,0,5,453,28,9,5,0,33,161,20,35,3,57,14,6,34,13,25,0,49,0,18,11,437,0,0,0,0,17,358,5,33,0,12,6,3,0,21,48,5,12,21,593,111,0,4,35,5,9,0,0,7,27,0,151,9,209,8,11503,0,5,3,0,12,0,0,2168,0,97,36,0,"Botany Bay (C)",37,5,17,3,73,33,75,3,259,20,40,3,80,31,25,1844,3,69,0,22,0,38,0,29,656,3,420,0,73
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,12,0,0,"11150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,145,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,975,0,0,0,0,0,0,0,164,0,0,0,0,"Bourke (A)",0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,62,0,0,0,0,0,7,0,0,"11200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,95,125,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743,0,0,0,0,0,0,0,124,0,0,0,0,"Brewarrina (A)",0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,148,0,0,13,0,0,32,0,0,"14300",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,8,0,0,7,0,0,0,0,0,0,0,4,8,0,0,366,393,0,0,0,0,0,0,0,0,0,904,0,0,0,0,0,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,40,3,0,0,0,0,0,0,0,0,0,0,4,0,5,0,2944,0,0,0,0,0,0,0,368,0,0,0,0,"Junee (A)",0,0,0,0,4,0,0,0,107,0,0,0,0,11,0,375,0,5,0,0,0,0,0,0,0,0,9,0,0
0,4,3,0,6,0,0,0,0,0,0,0,0,0,14,0,3,0,0,0,0,713,0,0,36,0,7,248,0,0,"14350",21,4,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,7,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,5,0,3,68,0,0,0,0,0,0,0,0,114,0,0,1879,1485,0,0,0,4,0,0,0,0,0,2384,8,0,0,0,0,3,4,0,0,0,0,15,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1600,0,0,0,0,4,7,3,0,0,6,0,0,0,3,0,0,8,23,330,18,0,0,0,0,0,0,0,7,0,0,52,0,11,0,12046,0,0,0,0,0,0,0,1594,0,0,0,0,"Kempsey (A)",0,0,0,0,0,0,6,0,732,0,5,0,0,59,3,1417,0,47,0,0,0,0,0,0,3,0,26,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,473,0,0,6,0,0,154,0,0,"11250",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,23,0,0,3,0,0,0,0,0,19,0,0,1147,993,0,0,0,0,5,0,0,0,0,1669,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,812,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,82,4,0,0,0,0,0,0,0,3,0,0,22,0,11,0,7470,0,0,0,0,0,0,0,913,0,0,0,0,"Broken Hill (C)",0,3,0,0,0,0,0,0,412,0,3,0,0,10,0,914,0,16,0,0,0,0,0,0,3,0,26,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,4,0,0,0,0,530,0,0,19,0,0,149,0,0,"13910",6,3,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,4,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,32,4,0,6,0,0,0,0,3,47,0,0,1068,997,0,0,0,3,3,0,0,0,6,1548,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,958,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,134,0,0,0,0,0,0,0,0,4,0,3,21,0,9,0,7829,0,0,0,0,0,0,0,1206,0,0,0,0,"Hilltops (A)",0,0,3,0,0,0,0,0,459,0,0,0,0,16,0,919,0,17,0,0,0,0,0,0,3,0,21,0,0
