m_png_55_64_yrs, m_south_africa_25_44_yrs, m_italy_25_44_yrs, m_mauritius_0_4_yrs, m_philippines_25_44_yrs, m_south_africa_85_yrs_ov, m_myanmar_85_yrs_ov, m_png_85_yrs_ov, m_japan_65_74_yrs, m_korea_south_55_64_yrs, m_south_africa_tot, m_poland_0_4_yrs, m_nthern_ireland_65_74_yrs, m_singapore_75_84_yrs, m_mauritius_25_44_yrs, m_korea_south_45_54_yrs, m_italy_tot, m_lebanon_0_4_yrs, m_myanmar_55_64_yrs, m_nepal_55_64_yrs, m_ireland_25_44_yrs, m_nepal_0_4_yrs, m_south_africa_75_84_yrs, m_ireland_85_yrs_ov, m_new_zealand_65_74_yrs, m_new_zealand_45_54_yrs, m_png_tot, lga_code_2016, m_pakistan_0_4_yrs, m_scotland_15_24_yrs, m_scotland_85_yrs_ov, m_singapore_0_4_yrs, m_singapore_85_yrs_ov, m_malaysia_25_44_yrs, m_korea_south_0_4_yrs, m_lebanon_65_74_yrs, m_malaysia_15_24_yrs, m_singapore_45_54_yrs, m_japan_25_44_yrs, m_malta_0_4_yrs, m_netherlands_15_24_yrs, m_malaysia_65_74_yrs, m_philippines_75_84_yrs, m_pakistan_tot, m_mauritius_75_84_yrs, m_malaysia_55_64_yrs, m_new_zealand_0_4_yrs, m_nthern_ireland_15_24_yrs, m_nthern_ireland_5_14_yrs, m_mauritius_65_74_yrs, m_lebanon_15_24_yrs, m_scotland_65_74_yrs, m_new_zealand_85_yrs_ov, m_singapore_tot, m_singapore_55_64_yrs, m_malaysia_5_14_yrs, m_netherlands_75_84_yrs, m_nepal_5_14_yrs, m_mauritius_55_64_yrs, m_myanmar_tot, m_scotland_tot, m_japan_tot, m_nepal_75_84_yrs, m_netherlands_65_74_yrs, m_png_15_24_yrs, m_pakistan_65_74_yrs, m_poland_85_yrs_ov, m_japan_5_14_yrs, m_netherlands_45_54_yrs, m_poland_65_74_yrs, m_south_africa_5_14_yrs, m_lebanon_25_44_yrs, m_philippines_85_yrs_ov, m_malta_55_64_yrs, m_japan_55_64_yrs, m_italy_0_4_yrs, m_nthern_ireland_45_54_yrs, m_poland_tot, m_new_zealand_15_24_yrs, m_philippines_0_4_yrs, m_philippines_65_74_yrs, m_new_zealand_75_84_yrs, m_myanmar_45_54_yrs, m_new_zealand_tot, m_south_africa_15_24_yrs, m_japan_45_54_yrs, m_pakistan_25_44_yrs, m_lebanon_85_yrs_ov, m_pakistan_75_84_yrs, m_ireland_45_54_yrs, m_korea_south_tot, m_mauritius_5_14_yrs, m_png_5_14_yrs, m_south_africa_0_4_yrs, m_nepal_25_44_yrs, m_mauritius_tot, m_myanmar_65_74_yrs, m_poland_15_24_yrs, m_ireland_5_14_yrs, m_scotland_25_44_yrs, m_png_75_84_yrs, m_italy_65_74_yrs, m_malta_25_44_yrs, m_malaysia_tot, m_lebanon_tot, m_philippines_55_64_yrs, m_netherlands_85_yrs_ov, m_mauritius_85_yrs_ov, m_philippines_15_24_yrs, m_korea_south_85_yrs_ov, m_poland_55_64_yrs, m_singapore_65_74_yrs, m_poland_5_14_yrs, m_netherlands_tot, m_pakistan_15_24_yrs, m_philippines_45_54_yrs, m_japan_15_24_yrs, m_malaysia_0_4_yrs, m_nepal_65_74_yrs, m_lebanon_55_64_yrs, m_new_zealand_55_64_yrs, m_korea_south_65_74_yrs, m_mauritius_45_54_yrs, m_png_65_74_yrs, m_scotland_45_54_yrs, m_korea_south_5_14_yrs, m_italy_85_yrs_ov, m_italy_45_54_yrs, m_nthern_ireland_25_44_yrs, m_png_0_4_yrs, m_lebanon_75_84_yrs, m_italy_5_14_yrs, m_lebanon_45_54_yrs, m_ireland_tot, m_italy_15_24_yrs, m_lebanon_5_14_yrs, m_nepal_15_24_yrs, m_malaysia_45_54_yrs, m_ireland_75_84_yrs, m_nepal_85_yrs_ov, m_mauritius_15_24_yrs, m_italy_55_64_yrs, m_korea_south_75_84_yrs, m_ireland_0_4_yrs, m_netherlands_25_44_yrs, m_myanmar_5_14_yrs, m_nthern_ireland_0_4_yrs, m_poland_75_84_yrs, m_nthern_ireland_85_yrs_ov, m_south_africa_65_74_yrs, m_japan_75_84_yrs, m_netherlands_5_14_yrs, m_nepal_45_54_yrs, m_malta_75_84_yrs, m_scotland_55_64_yrs, m_malta_15_24_yrs, m_netherlands_55_64_yrs, m_malaysia_75_84_yrs, m_scotland_5_14_yrs, m_pakistan_5_14_yrs, m_nepal_tot, m_italy_75_84_yrs, m_scotland_0_4_yrs, m_ireland_55_64_yrs, m_malta_5_14_yrs, m_korea_south_25_44_yrs, m_philippines_5_14_yrs, m_singapore_25_44_yrs, m_nthern_ireland_55_64_yrs, m_pakistan_85_yrs_ov, m_malta_45_54_yrs, m_ireland_15_24_yrs, m_japan_0_4_yrs, m_singapore_5_14_yrs, m_south_africa_45_54_yrs, lga_name_2016, m_malta_65_74_yrs, m_singapore_15_24_yrs, m_myanmar_0_4_yrs, m_south_africa_55_64_yrs, m_malaysia_85_yrs_ov, m_netherlands_0_4_yrs, m_korea_south_15_24_yrs, m_poland_45_54_yrs, m_new_zealand_5_14_yrs, m_pakistan_45_54_yrs, m_png_45_54_yrs, m_poland_25_44_yrs, m_myanmar_15_24_yrs, m_new_zealand_25_44_yrs, m_nthern_ireland_75_84_yrs, m_pakistan_55_64_yrs, m_philippines_tot, m_nthern_ireland_tot, m_scotland_75_84_yrs, m_malta_tot, m_japan_85_yrs_ov, m_ireland_65_74_yrs, m_png_25_44_yrs, m_myanmar_75_84_yrs, m_myanmar_25_44_yrs, m_malta_85_yrs_ov
0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,0,"10850",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Blayney (A)",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,3,3,0,0,0,0,0,0,0
7,28,3,0,33,0,0,0,3,3,125,0,17,0,3,5,98,0,3,0,38,0,4,4,73,133,30,"10900",0,0,12,0,0,22,0,3,3,13,8,0,3,11,0,18,0,18,0,0,0,10,3,81,4,34,0,0,30,0,10,4,273,34,0,64,0,3,0,7,13,10,3,9,0,17,7,0,17,73,11,0,5,26,0,508,3,3,3,0,0,30,39,0,0,0,7,24,3,0,3,26,3,25,0,66,27,9,9,0,4,0,29,3,0,178,0,10,0,0,0,3,122,3,6,0,50,3,10,17,13,0,0,0,3,165,0,0,0,16,13,0,0,26,0,0,15,0,0,5,0,21,3,3,3,3,56,0,34,3,14,3,7,20,0,28,0,8,10,10,10,0,5,3,0,3,30,"Blue Mountains (C)",17,0,0,32,0,0,13,9,11,3,6,11,0,123,9,4,73,60,37,37,0,44,10,0,0,3
0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,"10950",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bogan (A)",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0
0,48,30,0,193,0,0,0,0,9,133,0,0,5,12,10,173,0,0,0,218,0,7,0,36,82,15,"11100",0,3,0,0,0,106,4,28,30,8,28,0,3,22,10,95,0,27,3,3,0,5,0,20,0,75,7,9,0,3,10,15,90,49,0,3,0,4,0,0,8,15,3,11,0,14,7,0,7,70,59,3,20,14,4,484,21,7,58,6,0,30,79,0,3,0,30,21,0,0,6,21,0,38,5,224,83,51,0,0,40,0,14,6,0,28,10,82,3,7,0,14,64,3,0,0,24,3,10,14,10,0,10,3,16,279,7,0,5,25,6,0,0,28,3,0,9,0,0,0,0,8,0,0,9,32,14,0,3,5,0,5,41,44,0,7,0,37,19,31,0,0,5,6,0,3,30,"Botany Bay (C)",36,5,0,19,0,0,9,11,26,12,3,31,3,195,0,9,425,27,3,99,0,7,0,0,7,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bourke (A)",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brewarrina (A)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,4,9,4,"14300",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,43,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,"Junee (A)",0,0,0,0,0,0,3,0,0,0,0,0,0,22,0,0,9,0,0,3,0,0,0,0,0,0
0,4,0,0,5,0,0,0,0,0,15,0,3,0,0,0,9,0,0,0,3,0,0,0,17,27,8,"14350",0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,12,4,0,0,0,7,0,0,0,34,0,0,12,0,0,0,0,4,0,0,0,0,3,0,0,0,4,3,0,0,9,0,122,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,9,9,0,0,0,3,0,0,0,0,34,0,0,0,0,0,0,33,0,0,3,6,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,12,0,9,0,0,0,0,5,0,3,0,3,5,0,0,0,0,0,0,0,0,"Kempsey (A)",3,0,0,6,0,0,0,0,0,4,0,0,0,27,3,0,19,3,3,12,0,3,4,0,0,0
0,3,0,0,19,0,0,0,0,0,4,0,0,0,0,0,18,0,0,0,0,0,0,0,7,6,0,"11250",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,3,0,0,3,12,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,38,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,4,0,0,0,0,4,0,5,0,0,0,0,4,0,0,0,3,0,7,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,3,0,0,7,0,3,0,0,0,0,0,0,"Broken Hill (C)",8,0,0,0,0,0,0,0,3,0,0,0,0,12,0,0,42,6,3,9,0,0,0,0,3,0
0,3,3,0,3,0,0,0,0,0,6,0,0,0,0,0,16,0,0,0,0,0,0,3,14,18,3,"13910",0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,12,0,0,9,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,4,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,36,0,0,0,3,0,0,0,0,23,0,3,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,8,0,0,0,0,8,0,0,0,0,0,0,0,0,"Hilltops (A)",3,0,0,0,0,0,0,0,0,0,3,0,0,15,4,0,19,7,3,3,0,0,0,0,0,0
